sample	sex_karyotype
S36F5000	XX
S36F10000	XX
S36F100000	XX
S36F1000000	XX
S36M150	uncertain
S36M200	XY
S36M250	XY
S36M300	uncertain
S36M350	XY
S36M400	uncertain
S36M450	uncertain
S36M1000	XY
S36M5000	XY
S36M10000	XY
S36M100000	XY
S36M1000000	XY
S37F150	uncertain
S37F200	uncertain
S37F250	uncertain
S37F300	XX
S37F350	XX
S37F400	XX
S37F450	XX
S37F1000	XX
S37F5000	XX
S37F10000	XX
S37F100000	XX
S37F1000000	XX
S37M150	uncertain
S37M200	XY
S37M250	XY
S37M300	uncertain
S37M350	uncertain
S37M400	uncertain
S37M450	uncertain
S37M1000	XY
S37M5000	XY
S37M10000	XY
S37M100000	XY
S37M1000000	XY
S38F150	uncertain
S38F200	XX
S38F250	uncertain
S38F300	uncertain
S38F350	uncertain
S38F400	XX
S38F450	XX
S38F1000	XX
S38F5000	XX
S38F10000	XX
S38F100000	XX
S38F1000000	XX
S38M150	uncertain
S38M200	uncertain
S38M250	XY
S38M300	XY
S38M350	XY
S38M400	XY
S38M450	uncertain
S38M1000	XY
S38M5000	XY
S38M10000	XY
S38M100000	XY
S38M1000000	XY
S39F150	uncertain
S39F200	uncertain
S39F250	XX
S39F300	XX
S39F350	XX
S39F400	XX
S39F450	XX
S39F1000	XX
S39F5000	XX
S39F10000	XX
S39F100000	XX
S39F1000000	XX
S39M150	uncertain
S39M200	uncertain
S39M250	uncertain
S39M300	uncertain
S39M350	uncertain
S39M400	XY
S39M450	XY
S39M1000	XY
S39M5000	XY
S39M10000	XY
S39M100000	XY
S39M1000000	XY
S40F150	uncertain
S40F200	uncertain
S40F250	uncertain
S40F300	uncertain
S40F350	uncertain
S40F400	XX
S40F450	XX
S40F1000	XX
S40F5000	XX
S40F10000	XX
S40F100000	XX
S40F1000000	XX
S40M150	uncertain
S40M200	uncertain
S40M250	XY
S40M300	uncertain
S40M350	uncertain
S40M400	uncertain
S40M450	XY
S40M1000	XY
S40M5000	XY
S40M10000	XY
S40M100000	XY
S40M1000000	XY
S41F150	uncertain
S41F200	uncertain
S41F250	XX
S41F300	uncertain
S41F350	uncertain
S41F400	XX
S41F450	XX
S41F1000	XX
S41F5000	XX
S41F10000	XX
S41F100000	XX
S41F1000000	XX
S41M150	uncertain
S41M200	XY
S41M250	XY
S41M300	uncertain
S41M350	XY
S41M400	XY
S41M450	XY
S41M1000	XY
S41M5000	XY
S41M10000	XY
S41M100000	XY
S41M1000000	XY
S42F150	uncertain
S42F200	uncertain
S42F250	uncertain
S42F300	XX
S42F350	uncertain
S42F400	uncertain
S42F450	uncertain
S42F1000	XX
S42F5000	XX
S42F10000	XX
S42F100000	XX
S42F1000000	XX
S42M150	XY
S42M200	uncertain
S42M250	XY
S42M300	uncertain
S42M350	XY
S42M400	XY
S42M450	XY
S42M1000	XY
S42M5000	XY
S42M10000	XY
S42M100000	XY
S42M1000000	XY
S43F150	XX
S43F200	uncertain
