sample	sex_karyotype
E_S18F450_hf0.001	XX
E_S18F450_hf0.01	XX
E_S18F450_hf0.10	XX
E_S18F450_hf0.50	XX
E_S18F450_hf0.95	XX
E_S18F450_hf1	XX
E_S18M10000_hf0.001	XY
E_S18M10000_hf0.01	XY
E_S18M10000_hf0.10	XY
E_S18M10000_hf0.50	XY
E_S18M10000_hf0.95	XY
E_S18M10000_hf1	XY
E_S18M1000_hf0.001	XY
E_S18M1000_hf0.01	XY
E_S18M1000_hf0.10	XY
E_S18M1000_hf0.50	XY
E_S18M1000_hf0.95	XY
E_S18M1000_hf1	XY
E_S18M150_hf0.001	uncertain
E_S18M150_hf0.01	uncertain
E_S18M150_hf0.10	uncertain
E_S18M150_hf0.50	uncertain
E_S18M150_hf0.95	uncertain
E_S18M150_hf1	uncertain
E_S18M250_hf0.001	XY
E_S18M250_hf0.01	XY
E_S18M250_hf0.10	XY
E_S18M250_hf0.50	XY
E_S18M250_hf0.95	XY
E_S18M250_hf1	XY
E_S18M350_hf0.001	uncertain
E_S18M350_hf0.01	uncertain
E_S18M350_hf0.10	uncertain
E_S18M350_hf0.50	uncertain
E_S18M350_hf0.95	uncertain
E_S18M350_hf1	uncertain
E_S18M450_hf0.001	XY
E_S18M450_hf0.01	XY
E_S18M450_hf0.10	XY
E_S18M450_hf0.50	XY
E_S18M450_hf0.95	XY
E_S18M450_hf1	XY
E_S19F10000_hf0.001	XX
E_S19F10000_hf0.01	XX
E_S19F10000_hf0.10	XX
E_S19F10000_hf0.50	XX
E_S19F10000_hf0.95	XX
E_S19F10000_hf1	XX
E_S19F1000_hf0.001	XX
E_S19F1000_hf0.01	XX
E_S19F1000_hf0.10	XX
E_S19F1000_hf0.50	XX
E_S19F1000_hf0.95	XX
E_S19F1000_hf1	XX
E_S19F150_hf0.001	uncertain
E_S19F150_hf0.01	uncertain
E_S19F150_hf0.10	uncertain
E_S19F150_hf0.50	uncertain
E_S19F150_hf0.95	uncertain
E_S19F150_hf1	uncertain
E_S19F250_hf0.001	XX
E_S19F250_hf0.01	XX
E_S19F250_hf0.10	XX
E_S19F250_hf0.50	XX
E_S19F250_hf0.95	XX
E_S19F250_hf1	XX
E_S19F350_hf0.001	XX
E_S19F350_hf0.01	XX
E_S19F350_hf0.10	XX
E_S19F350_hf0.50	XX
E_S19F350_hf0.95	XX
E_S19F350_hf1	XX
E_S19F450_hf0.001	XX
E_S19F450_hf0.01	XX
E_S19F450_hf0.10	XX
E_S19F450_hf0.50	XX
E_S19F450_hf0.95	XX
E_S19F450_hf1	XX
E_S19M10000_hf0.001	XY
E_S19M10000_hf0.01	XY
E_S19M10000_hf0.10	XY
E_S19M10000_hf0.50	XY
E_S19M10000_hf0.95	XY
E_S19M10000_hf1	XY
E_S19M1000_hf0.001	XY
E_S19M1000_hf0.01	XY
E_S19M1000_hf0.10	XY
E_S19M1000_hf0.50	XY
E_S19M1000_hf0.95	XY
E_S19M1000_hf1	XY
E_S19M150_hf0.001	uncertain
E_S19M150_hf0.01	uncertain
E_S19M150_hf0.10	uncertain
E_S19M150_hf0.50	uncertain
E_S19M150_hf0.95	uncertain
E_S19M150_hf1	uncertain
E_S19M250_hf0.001	uncertain
E_S19M250_hf0.01	uncertain
E_S19M250_hf0.10	uncertain
E_S19M250_hf0.50	uncertain
E_S19M250_hf0.95	uncertain
E_S19M250_hf1	uncertain
E_S19M350_hf0.001	uncertain
E_S19M350_hf0.01	uncertain
E_S19M350_hf0.10	uncertain
E_S19M350_hf0.50	uncertain
E_S19M350_hf0.95	uncertain
E_S19M350_hf1	uncertain
E_S19M450_hf0.001	uncertain
E_S19M450_hf0.01	uncertain
E_S19M450_hf0.10	uncertain
E_S19M450_hf0.50	uncertain
E_S19M450_hf0.95	uncertain
E_S19M450_hf1	uncertain
E_S1F10000_hf0.001	XX
E_S1F10000_hf0.01	XX
E_S1F10000_hf0.10	XX
E_S1F10000_hf0.50	XX
E_S1F10000_hf0.95	XX
E_S1F10000_hf1	XX
E_S1F1000_hf0.001	XX
E_S1F1000_hf0.01	XX
E_S1F1000_hf0.10	XX
E_S1F1000_hf0.50	XX
E_S1F1000_hf0.95	XX
E_S1F1000_hf1	XX
E_S1F150_hf0.001	uncertain
E_S1F150_hf0.01	uncertain
E_S1F150_hf0.10	uncertain
E_S1F150_hf0.50	uncertain
E_S1F150_hf0.95	uncertain
E_S1F150_hf1	uncertain
E_S1F250_hf0.001	XX
E_S1F250_hf0.01	XX
E_S1F250_hf0.10	XX
E_S1F250_hf0.50	XX
E_S1F250_hf0.95	XX
E_S1F250_hf1	XX
E_S1F350_hf0.001	XX
E_S1F350_hf0.01	XX
E_S1F350_hf0.10	XX
E_S1F350_hf0.50	XX
E_S1F350_hf0.95	XX
E_S1F350_hf1	XX
E_S1F450_hf0.001	XX
E_S1F450_hf0.01	XX
E_S1F450_hf0.10	XX
E_S1F450_hf0.50	XX
E_S1F450_hf0.95	XX
E_S1F450_hf1	XX
E_S1M10000_hf0.001	XY
E_S1M10000_hf0.01	XY
E_S1M10000_hf0.10	XY
E_S1M10000_hf0.50	XY
E_S1M10000_hf0.95	XY
E_S1M10000_hf1	XY
E_S1M1000_hf0.001	XY
E_S1M1000_hf0.01	XY
E_S1M1000_hf0.10	XY
E_S1M1000_hf0.50	XY
E_S1M1000_hf0.95	XY
E_S1M1000_hf1	XY
E_S1M150_hf0.001	XY
E_S1M150_hf0.01	XY
E_S1M150_hf0.10	XY
E_S1M150_hf0.50	XY
E_S1M150_hf0.95	XY
E_S1M150_hf1	XY
E_S1M250_hf0.001	XY
E_S1M250_hf0.01	XY
E_S1M250_hf0.10	XY
E_S1M250_hf0.50	XY
