Run	actual_sex
S54F10000	female
S54F100000	female
S54F1000000	female
S54M150	male
S54M200	male
S54M250	male
S54M300	male
S54M350	male
S54M400	male
S54M450	male
S54M1000	male
S54M5000	male
S54M10000	male
S54M100000	male
S54M1000000	male
S55F150	female
S55F200	female
S55F250	female
S55F300	female
S55F350	female
S55F400	female
S55F450	female
S55F1000	female
S55F5000	female
S55F10000	female
S55F100000	female
S55F1000000	female
S55M150	male
S55M200	male
S55M250	male
S55M300	male
S55M350	male
S55M400	male
S55M450	male
S55M1000	male
S55M5000	male
S55M10000	male
S55M100000	male
S55M1000000	male
S56F150	female
S56F200	female
S56F250	female
S56F300	female
S56F350	female
S56F400	female
S56F450	female
S56F1000	female
S56F5000	female
S56F10000	female
S56F100000	female
S56F1000000	female
S56M150	male
S56M200	male
S56M250	male
S56M300	male
S56M350	male
S56M400	male
S56M450	male
S56M1000	male
S56M5000	male
S56M10000	male
S56M100000	male
S56M1000000	male
S57F150	female
S57F200	female
S57F250	female
S57F300	female
S57F350	female
S57F400	female
S57F450	female
S57F1000	female
S57F5000	female
S57F10000	female
S57F100000	female
S57F1000000	female
S57M150	male
S57M200	male
S57M250	male
S57M300	male
S57M350	male
S57M400	male
S57M450	male
S57M1000	male
S57M5000	male
S57M10000	male
S57M100000	male
S57M1000000	male
S58F150	female
S58F200	female
S58F250	female
S58F300	female
S58F350	female
S58F400	female
S58F450	female
S58F1000	female
S58F5000	female
S58F10000	female
S58F100000	female
S58F1000000	female
S58M150	male
S58M200	male
S58M250	male
S58M300	male
S58M350	male
S58M400	male
S58M450	male
S58M1000	male
S58M5000	male
S58M10000	male
S58M100000	male
S58M1000000	male
S59F150	female
S59F200	female
S59F250	female
S59F300	female
S59F350	female
S59F400	female
S59F450	female
S59F1000	female
S59F5000	female
S59F10000	female
S59F100000	female
S59F1000000	female
S59M150	male
S59M200	male
S59M250	male
S59M300	male
S59M350	male
S59M400	male
S59M450	male
S59M1000	male
S59M5000	male
S59M10000	male
S59M100000	male
S59M1000000	male
S60F150	female
S60F200	female
S60F250	female
S60F300	female
S60F350	female
S60F400	female
S60F450	female
S60F1000	female
S60F5000	female
S60F10000	female
S60F100000	female
S60F1000000	female
